imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0989000,In Search of a Midnight Kiss,In Search of a Midnight Kiss,2007,8/1/2008,"Comedy, Romance",90,USA,English,Alex Holdridge,Alex Holdridge,Midnight Kiss Productions (II),"Scoot McNairy, Sara Simmonds, Brian McGuire, Kathleen Luong, Robert Murphy, Twink Caplan, Bret Roberts, Ann Chatterton, Cindy Drummond, Giorgio Pierangeli, Michael Pierangeli, Bruce Jay, Stephanie Feury, Julie Levin-Pierangeli, Kennedy Rich-Collins","Broke and alone on New Year's Eve, Wilson just wants to spend the rest of a very bad year in bed. But, when his best friend convinces him to post a personal ad, he meets a woman bent on finding the right guy to be with at midnight.",7.2,7871,"$25,000 ","$172,605 ","$1,294,176 ",64,48,87
tt0109445,Clerks - Commessi,Clerks,1994,2/1/1995,Comedy,92,USA,English,Kevin Smith,Kevin Smith,View Askew Productions,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer, Jason Mewes, Kevin Smith, Scott Mosier, Scott Schiaffo, Al Berkowitz, Walter Flanagan, Ed Hapstak, Lee Bendick, David Klein, Pattijean Csik, Ken Clark","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",7.7,209206,"$27,000 ","$3,151,130 ","$3,151,130 ",70,649,138
tt0171685,Ratcatcher,Ratcatcher,1999,6/16/2000,Drama,94,"UK, France",English,Lynne Ramsay,Lynne Ramsay,PathÃ© Pictures International,"Tommy Flanagan, Mandy Matthews, William Eadie, Michelle Stewart, Lynne Ramsay Jr., Leanne Mullen, John Miller, Jackie Quinn, James Ramsay, Anne McLean, Craig Bonar, Andrew McKenna, Mick Maharg, James Montgomery, Thomas McTaggart","An unabashed kid navigates the filthy world of 1973 Glasgow, preoccupying himself with the equally poor youth around him.",7.5,8543,"$30,000 ","$217,244 ","$217,244 ",76,69,59
tt0262432,George Washington,George Washington,2000,9/28/2001,Drama,89,USA,English,David Gordon Green,David Gordon Green,Free Country U.S.A.,"Candace Evanofski, Donald Holden, Damian Jewan Lee, Curtis Cotton III, Rachael Handy, Paul Schneider, Eddie Rouse, Janet Taylor, Derricka Rolle, Ebony Jones, Jonathan Davidson, Scott Clackum, Beau Nix, Jason Shirley, William Tipton","A group of children, in a depressed small town, band together to cover up a tragic mistake one summer.",7.3,7700,"$42,000 ","$247,406 ","$283,846 ",82,72,69
tt0368913,Osama,Osama,2003,1/30/2004,Drama,83,"Afghanistan, Ireland, Japan, Iran, Netherlands","French, Arabic, Dari, Pushto, English",Siddiq Barmak,Siddiq Barmak,Barmak Film,"Marina Golbahari, Khwaja Nader, Mohammad Arif Herati, Zubaida Sahar, Mohamad Haref Harati, Hamida Refah, Gul Rehman Ghorbandi, Mohammad Nadir Khwaja","After the rise of the Taliban in Afghanistan and the restriction of women in public life, a pre-teen girl is forced to masquerade as a boy in order to find work to support her mother and grandmother.",7.3,8563,"$46,000 ","$1,270,904 ","$3,910,519 ",83,77,106
tt0372884,Eating Out,Eating Out,2004,2/24/2012,"Comedy, Drama, Romance",90,USA,English,Q. Allan Brocka,Q. Allan Brocka,Ariztical Entertainment,"Rebekah Kochan, Scott Lunsford, Jim Verraros, Natalie Burge, Adrienne Pearson, Jillian Nusbaum, Ryan Carnes, Kris Black, Emily Brooke Hands, Billy Shepard, Maurice Grossman, John Janezic, Ditte Lokon, Dani Millan, Stafford Williamson","After getting dumped by his slutty girlfriend, Caleb falls in love with Gwen. However, thanks to Caleb's roommate, Gwen thinks he's gay and sets him up with her roommate, Marc.",5.8,5853,"$50,000 ","$155,212 ","$155,212 ",28,84,15
tt0780607,Signal,The Signal,2007,7/4/2008,"Horror, Sci-Fi, Thriller",103,USA,English,"David Bruckner, Dan Bush","David Bruckner, Jacob Gentry",POP Films,"Anessa Ramsey, Sahr Ngaujah, AJ Bowen, Matthew Stanton, Suehyla El-Attar, Justin Welborn, Cheri Christian, Scott Poythress, Christopher Thomas, Lindsey Garrett, Chad McKnight, Claire Bronson, David Bruckner, Dan Bush, John Clifton","A horror film told in three parts, from three perspectives, in which a mysterious transmission that turns people into killers invades every cell phone, radio, and television.",6,20201,"$50,000 ","$251,150 ","$1,040,386 ",63,125,143
tt2084989,Upstream Color,Upstream Color,2013,8/30/2013,"Drama, Sci-Fi",96,USA,English,Shane Carruth,Shane Carruth,erbp,"Amy Seimetz, Shane Carruth, Andrew Sensenig, Thiago Martins, Kathy Carruth, Meredith Burke, Andreon Watson, Ashton Miramontes, Myles McGee, Frank Mosley, Carolyn King, Kerry McCormick, Marco Antonio Rodriguez, Brina Palencia, Lynn Blackburn","A man and woman are drawn together, entangled in the life cycle of an ageless organism. Identity becomes an illusion as they struggle to assemble the loose fragments of wrecked lives.",6.7,30920,"$50,000 ","$444,098 ","$587,174 ",81,172,277
tt2866360,Coherence - Oltre lo spazio tempo,Coherence,2013,8/6/2014,"Drama, Mystery, Sci-Fi",89,"USA, UK",English,James Ward Byrkit,"James Ward Byrkit, James Ward Byrkit",Bellanova Films,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Lorene Scafaria, Elizabeth Gracen, Hugo Armstrong, Alex Manugian, Lauren Maher, Aqueela Zoll, Carrie Patterson, Kelly Donovan, Alexis Boozer Sterling, Mark Ballou",Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,7.2,103653,"$50,000 ","$102,617 ","$139,745 ",65,320,203
tt0138704,Pi greco - Il teorema del delirio,Pi,1998,7/31/1999,"Drama, Horror, Mystery",84,USA,"English, Hebrew",Darren Aronofsky,"Darren Aronofsky, Darren Aronofsky",Harvest Filmworks,"Sean Gullette, Mark Margolis, Ben Shenkman, Pamela Hart, Stephen Pearlman, Samia Shoaib, Ajay Naidu, Kristyn Mae-Anne Lao, Espher Lao Nieves, Joanne Gordon, Lauren Fox, Stanley B. Herman, Clint Mansell, Tom Tumminello, Henri Falconi",A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.,7.4,167656,"$60,000 ","$3,221,152 ","$3,221,152 ",72,614,134
tt0185937,The Blair Witch Project - Il mistero della strega di Blair,The Blair Witch Project,1999,2/18/2000,"Horror, Mystery",81,USA,English,"Daniel Myrick, Eduardo SÃ¡nchez","Daniel Myrick, Eduardo SÃ¡nchez",Haxan Films,"Heather Donahue, Joshua Leonard, Michael C. Williams, Bob Griffin, Jim King, Sandra SÃ¡nchez, Ed Swanson, Patricia DeCou, Mark Mason, Susie Gooch","Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",6.5,227601,"$60,000 ","$140,539,099 ","$248,639,099 ",81,3527,410
tt0473514,Mulberry St,Mulberry St,2006,11/22/2014,"Horror, Sci-Fi, Thriller",84,USA,English,Jim Mickle,"Nick Damici, Jim Mickle",Belladonna Productions,"Nick Damici, Kim Blair, Ron Brice, Bo Corre, Tim House, Larry Fleischman, Larry Medich, Javier Picayo, Antone PagÃ¡n, John Hoyt, Lou Torres, Sarah Dickinson, Heidi Peterson, Jim Heater, Rodney Gray","A deadly infection breaks out in Manhattan, causing humans to devolve into blood-thirsty rat creatures. Six recently evicted tenants must survive the night and protect their downtown ...",5.5,5626,"$60,000 ","$97,182 ","$97,182 ",,75,89
tt1570989,Tiny Furniture,Tiny Furniture,2010,3/30/2012,"Comedy, Drama, Romance",98,USA,English,Lena Dunham,Lena Dunham,IFC Films,"Lena Dunham, Laurie Simmons, Grace Dunham, Rachel Howe, Merritt Wever, Amy Seimetz, Alex Karpovsky, Jemima Kirke, Garland Hunter, Isen Ritchie, Sarah Sophie Flicker, David Call, Jody Lee Lipes, Charlotte Istel, Peter Rosenblum",About a recent college grad who returns home while she tries to figure out what to do with her life.,6.2,13778,"$65,000 ","$391,674 ","$416,498 ",72,42,115
tt0106579,"Clean, Shaven","Clean, Shaven",1993,4/21/1995,"Crime, Drama, Thriller",79,USA,English,Lodge Kerrigan,Lodge Kerrigan,DSM III,"Peter Greene, Alice Levitt, Megan Owen, Jennifer MacDonald, Molly Castelloe, Jill Chamberlain, Agathe Leclerc, Robert Albert, Roget Joly, RenÃ© Beaudin, J. Dixon Byrne, Eliot Rockett, Angela Vibert, Karen MacDonald, Lee Kayman","After a man suffering from schizophrenia is released from a mental institution, he attempts to get his daughter back from her adoptive family.",7.1,5130,"$68,000 ","$26,351 ","$26,351 ",,50,51
tt1610996,Absentia,Absentia,2011,4/11/2013,"Drama, Horror, Mystery",87,USA,English,Mike Flanagan,Mike Flanagan,FallBack Plan Productions,"Katie Parker, Courtney Bell, Dave Levine, Justin Gordon, Morgan Peter Brown, James Flanagan, Doug Jones, Scott Graham, Connie Ventress, Ian Gregory, Mark Dumonski, Elisabeth Adwin, Erin Cipolletti, Jonathan Fisher, Brandon Valley Jones","A woman and her sister begin to link a mysterious tunnel to a series of disappearances, including that of her own husband.",5.8,16627,"$70,000 ",,"$8,555 ",,171,141
tt2955096,Happy Christmas,Happy Christmas,2014,6/26/2014,"Comedy, Drama",82,USA,English,Joe Swanberg,Joe Swanberg,Lucky Coffee Productions,"Anna Kendrick, Melanie Lynskey, Mark Webber, Lena Dunham, Joe Swanberg, Jude Swanberg, Chris Swanson, Eldar Kim, Megan Mercier, Chris Renton, Kris Rey, Jessica Angelos, Mike Brune, Harry Burton, Tony Castro","After a break up, Jenny moves in with writer Kelly, her filmmaker husband, and their child. Despite a rocky start, Jenny's influence helps Kelly realize that an evolution in her life, career and relationship is necessary for her happiness.",5.4,7549,"$70,000 ","$30,312 ","$30,312 ",70,50,66
tt0275719,Tape,Tape,2001,7/12/2002,Drama,86,USA,English,Richard Linklater,"Stephen Belber, Stephen Belber",Detour Filmproduction,"Ethan Hawke, Robert Sean Leonard, Uma Thurman",Three old high school friends meet in a Michigan motel room to dissect painful memories from their past.,7.3,18519,"$100,000 ","$490,475 ","$515,900 ",71,111,57
tt0805526,Affrontando i giganti,Facing the Giants,2006,9/29/2006,"Drama, Fantasy, Sport",111,USA,English,Alex Kendrick,"Alex Kendrick, Stephen Kendrick",Carmel Entertainment,"Erin Bethea, James Blackwell, Bailey Cave, Shannen Fields, Tracy Goode, Dan W. Howell Sr., Alex Kendrick, Jim McBride, Tommy McBride, Michael McLendon, Jason McLeod, Mark Richt, Kyle Scott, Mary Smit, Steve Williams",A losing coach with an underdog football team faces their giants of fear and failure on and off the field to surprising results.,6.6,15643,"$100,000 ","$10,178,331 ","$10,307,987 ",38,413,30
tt1549572,Another Earth,Another Earth,2011,5/18/2012,"Drama, Romance, Sci-Fi",92,USA,English,Mike Cahill,"Mike Cahill, Brit Marling",Artists Public Domain,"Brit Marling, Matthew-Lee Erlbach, DJ Flava, William Mapother, Meggan Lennon, AJ Diana, Bruce Colbert, Paul Mezey, Ana Valle, Jeffrey Goldenberg, Joseph A. Bove, Jordan Baker, Flint Beverage, Robin Lord Taylor, Rupert Reid","On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.",7,89685,"$100,000 ","$1,321,194 ","$1,938,783 ",66,290,253
tt2309260,The Gallows - L'esecuzione,The Gallows,2015,8/19/2015,"Horror, Mystery, Sci-Fi",81,USA,English,"Travis Cluff, Chris Lofing","Chris Lofing, Travis Cluff",New Line Cinema,"Reese Mishler, Pfeifer Brown, Ryan Shoos, Cassidy Gifford, Travis Cluff, Price T. Morgan, Melissa Bratton, Theo Burkhardt, David Herrara, Gannon Del Fierro, Mackie Burt, Adrian Salas, Mark Hales, John Hales, Shannon Wetzel","20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.",4.2,18980,"$100,000 ","$22,764,410 ","$42,964,410 ",30,181,174
tt2756032,The One I Love,The One I Love,2014,8/8/2014,"Comedy, Drama, Romance",91,USA,English,Charlie McDowell,Justin Lader,RADiUS-TWC,"Mark Duplass, Elisabeth Moss, Ted Danson, Kiana Cason, Kaitlyn Dodson, Lori Farrar, Marlene Malin, Tim Peddicord, Ryan Pederson, Brett Bietz, Sean O'Malley, Mary Steenburgen, Drew Langer, Jennifer Spriggs, Charlie McDowell","A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.",7.1,34444,"$100,000 ","$513,447 ","$596,933 ",66,99,115
tt3824458,Tangerine,Tangerine,2015,7/10/2015,"Comedy, Crime, Drama",88,USA,"English, Armenian",Sean Baker,"Sean Baker, Chris Bergoch",Duplass Brothers Productions,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan, James Ransone, Alla Tumanian, Luiza Nersisyan, Arsen Grigoryan, Ian Edwards, Clu Gulager, Ana Foxx, Scott Krinsky, Chelcie Lynn, Shih-Ching Tsou, Josh Sussman",A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.,7.1,26285,"$100,000 ","$702,354 ","$828,874 ",86,98,207
tt6265828,Storia di un fantasma,A Ghost Story,2017,7/27/2017,"Drama, Fantasy, Romance",92,USA,"English, Spanish",David Lowery,David Lowery,Sailor Bear,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson, Grover Coulson, Liz Cardenas, Barlow Jacobs, Richard Krause, Dagger Salazar, Sonia Acevedo, Carlos Bermudez, Yasmina Gutierrez, Kimberly Fiddes, Daniel Escudero, Kesha","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",6.9,58011,"$100,000 ","$1,596,371 ","$1,951,683 ",84,605,320
tt0099763,Henry - Pioggia di sangue,Henry: Portrait of a Serial Killer,1986,8/21/1992,"Biography, Crime, Drama",83,USA,English,John McNaughton,"Richard Fire, John McNaughton",Maljack Productions,"Mary Demas, Michael Rooker, Anne Bartoletti, Elizabeth Kaden, Ted Kaden, Denise Sullivan, Anita Ores, Megan Ores, Cheri Jones, Monica Anne O'Malley, Bruce Quist, Erzsebet Sziky, Tracy Arnold, Tom Towles, David Katz","Henry, a drifter, commits a series of brutal murders, supposedly operating with impunity.",7,31167,"$111,000 ","$609,939 ","$609,939 ",80,230,167
tt1742336,Your Sister's Sister,Your Sister's Sister,2011,6/29/2012,"Comedy, Drama, Romance",90,USA,English,Lynn Shelton,Lynn Shelton,Ada Films,"Michael Harring, Mark Duplass, Mike Birbiglia, Emily Blunt, Jason Dodson, Pete Erickson, Kathryn Lebo, Evan Mosher, Jennifer Maas, Jeanette Maus, Dori Hana Scherer, Steve Snoey, Dusty Warren, Seth Warren, Mel Eslyn","Iris invites her friend Jack to stay at her family's island getaway after the death of his brother. At their remote cabin, Jack's drunken encounter with Hannah, Iris' sister, kicks off a revealing stretch of days.",6.7,25829,"$125,000 ","$1,636,190 ","$3,242,802 ",72,72,176
tt1735485,The Tunnel,The Tunnel,2011,5/19/2011,"Horror, Mystery, Thriller",90,Australia,English,Carlo Ledesma,"Enzo Tedeschi, Julian Harvey",Distracted Media,"Bel DeliÃ¡, Andy Rodoreda, Steve Davis, Luke Arnold, Goran D. Kleut, James Caitlin, Ben Maclaine, Peter McAllum, Rebecca Clay, Shannon Harvey, Arianna Gusi, Russell Jeffrey, Jessica Fallico, Ben James, Peter Overton",An investigation into a government cover-up leads to a network of abandoned train tunnels deep beneath the heart of Sydney. As a journalist and her crew hunt for the story it quickly becomes clear the story is hunting them.,5.9,19103,"$135,000 ","$1,532 ","$1,532 ",,136,64
tt0112445,Il palloncino bianco,Badkonake sefid,1995,1995,"Drama, Family",85,Iran,Persian,Jafar Panahi,"Abbas Kiarostami, Jafar Panahi",Farabi Cinema Foundation,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy, Anna Borkowska, Mohammad Shahani, Mohammed Bakhtiar, Aliasghar Smadi, Hamidreza Tahery, Asghar Barzegar, Hasan Neamatolahi, Bosnali Bahary, Mohammadreza Baryar, Shaker Hayely, Homayoon Rokani, Mohammad Farakani",Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,7.7,6518,"$150,000 ","$924,940 ","$924,940 ",,38,29
tt0271219,Tadpole,Tadpole,2002,1/17/2003,"Comedy, Drama, Romance",78,USA,"English, French",Gary Winick,"Heather McGowan, Niels Mueller",Miramax,"Aaron Stanford, Kate Mara, Robert Iler, Peter Appel, Bebe Neuwirth, Ron Rifkin, Alicia Van Couvering, John Ritter, Sigourney Weaver, Paul Butler, Michael Connors, Theo Kogan, Adam LeFevre, Hope Chernov, Debbon Ayer","Coming-of-age story about a suave 15-year-old prep school student who falls in love with his stepmother. When her best friend responds to his advances, he suddenly finds himself in way over his head.",6.1,5679,"$150,000 ","$2,891,288 ","$3,200,241 ",71,101,91
tt0907657,Once,Once,2007,5/30/2008,"Drama, Music, Romance",86,Ireland,"English, Czech",John Carney,John Carney,BÃ³rd ScannÃ¡n na hÃ‰ireann,"Glen Hansard, MarkÃ©ta IrglovÃ¡, Hugh Walsh, Gerard Hendrick, Alaistair Foley, Geoff Minogue, Bill Hodnett, Danuse Ktrestova, Darren Healy, Mal Whyte, Marcella Plunkett, Niall Cleary, Wiltold Owski, Krzysztos Tlotka, Tomek Glowacki","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",7.8,109134,"$150,000 ","$9,439,923 ","$20,936,722 ",88,365,242
tt0444653,La famiglia omicidi,Keeping Mum,2005,4/14/2006,"Comedy, Crime",99,"UK, USA, Isle Of Man",English,Niall Johnson,"Richard Russo, Niall Johnson",Summit Entertainment,"Rowan Atkinson, Kristin Scott Thomas, Maggie Smith, Patrick Swayze, Tamsin Egerton, Toby Parkes, Liz Smith, Emilia Fox, James Booth, Patrick Monckton, Rowley Irlam, Vivienne Moore, Murray McArthur, Morgan Gower, Rupert Simonian","A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair, and his children are up to no good.",6.8,32631,"$169,000 ","$1,619,466 ","$18,586,834 ",53,139,187
tt0091939,Lola Darling,She's Gotta Have It,1986,2/20/1987,"Comedy, Romance",84,USA,English,Spike Lee,"Spike Lee, Zora Neale Hurston",40 Acres & A Mule Filmworks,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell, Spike Lee, Raye Dowell, Joie Lee, S. Epatha Merkerson, Bill Lee, Cheryl Burr, Aaron Dugger, Stephanie Covington, Renata Cobbs, Cheryl D. Singleton, Monty Ross, Tiziano Cortini",Story of a woman and her three lovers.,6.7,11071,"$175,000 ","$7,137,502 ","$7,137,502 ",79,39,46
tt0118849,I bambini del cielo,Bacheha-Ye aseman,1997,1997,"Drama, Family, Sport",89,Iran,Persian,Majid Majidi,Majid Majidi,Kanun parvaresh fekri,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi, Kamal Mirkarimi, Behzad Rafi, Dariush Mokhtari, Mohammad-Hasan Hosseinian, Masume Dair, Kambiz Peykarnegar, Hasan Roohparvari, Abbas-Ali Roomandi, Jafar Seyfollahi, Qolamreza Maleki","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",8.3,62309,"$180,000 ","$933,933 ","$933,933 ",,184,58
tt7738450,Thunder Road,Thunder Road,2018,10/30/2018,"Comedy, Drama",92,USA,English,Jim Cummings,Jim Cummings,The 10 East,"Jim Cummings, Kendal Farr, Nican Robinson, Jocelyn DeBoer, Chelsea Edmundson, Macon Blair, Ammie Masterson, Bill Wise, Jordan Ray Fox, Frank Mosley, Jacqueline Doke, Chris Doubek, Tristan Riggs, Kevin Olliff, Marshall Allman",A police officer faces a personal meltdown following a divorce and the death of his mother.,7.1,13073,"$191,000 ",,"$456,304 ",79,117,98
tt0111252,Spanking the Monkey,Spanking the Monkey,1994,7/15/1994,"Comedy, Drama",100,USA,English,David O. Russell,David O. Russell,Buckeye Films,"Jeremy Davies, Alberta Watson, Benjamin Hendrickson, Elizabeth Newett, Carla Gallo, Liberty Jean, Archer Martin, Matthew Puckett, Zak Orth, Josh Philip Weinstein, Judah Domke, Nancy Fields, Judette Jones, Carmine Paolini, Neil Connie Wallace","About to stay a summer internship, promising young medical student at MIT, Raymond's mother, Susan, breaks her leg. Housebound and immobile, his father, Tom, makes Raymond stay home and ...",6.2,5884,"$200,000 ","$1,359,736 ","$1,359,736 ",66,70,34
tt0117802,Swingers,Swingers,1996,8/21/1997,"Comedy, Drama",96,USA,English,Doug Liman,Jon Favreau,Doug Liman Productions,"Jon Favreau, Vince Vaughn, Ron Livingston, Patrick Van Horn, Alex DÃ©sert, Heather Graham, Deena Martin, Katherine Kendall, Brooke Langton, Blake Lindsley, Kevin James Kelly, Stephanie Ittleson, Vernon Vaughn, Joan Favreau, Rio Hackford","A wannabe actor has a hard time moving on from a break-up, but he is lucky to have supportive friends.",7.2,74052,"$200,000 ","$4,555,020 ","$4,555,020 ",71,278,80
